text,product,rating
bekar hai,Headphones,0
Este servicio es terrible y muy lento.,Phone Case,1
It does what it's supposed to do. Nothing special but decent value.,Keyboard,3
"Este producto es excelente, me encanta mucho.",Monitor,5
Extremely disappointed. Completely different from description. Returning immediately.,Laptop Stand,1
Not bad for the price. Works as advertised.,USB Cable,3
Ce produit est incroyable et trŤs utile.,Backpack,5
"Je dťteste cette application, elle ne fonctionne pas.",Screen Protector,1
"Average product, nothing exciting but functional.",Webcam,3
"?? ?? ???? ????? ??, ???? ???? ????",Mouse Pad,5
?? ???? ???? ????? ???,Power Bank,1
Good enough for everyday use. Fair price.,Desk Lamp,3
Exceeded expectations! Would buy again without hesitation.,Wireless Charger,5
Defective right out of the box. Such a disappointment.,HDMI Cable,1
It's okay. Does the job but nothing remarkable.,USB Hub,3
Dieses Produkt ist fantastisch und sehr hilfreich.,Microphone,5
Worst purchase of my life. Complete garbage.,Phone Stand,1
Decent quality for the price. No complaints.,Cooling Pad,3
Absolutely love it! 10/10 would recommend!,External SSD,5
Das ist ein schlechtes und frustrierendes Erlebnis.,Adapter,1
